Comune	Pop.residente(01/01/2019)	Dens.demografica(ab/kmq)
Marcignago	2501.00	244.32
Margno	367.00	105.97
Mariana Mantovana	775.00	83.59
Mariano Comense	25191.00	1808.01
Marmentino	659.00	36.43
Marmirolo	7807.00	185.38
Marnate	7936.00	1630.83
Marone	3165.00	132.80
Martignana di Po	2069.00	136.85
Martinengo	10647.00	478.87
Marudo	1718.00	409.33
Marzano	1668.00	180.30
Marzio	345.00	197.52
Masate	3570.00	801.37
Masciago Primo	299.00	167.59
Maslianico	3331.00	2583.07
Massalengo	4550.00	539.22
Mazzano	12440.00	784.70
Mazzo di Valtellina	989.00	65.19
Meda	23502.00	2824.15
Mede	6524.00	199.91
Mediglia	12235.00	553.45
Medolago	2415.00	631.05
Medole	4091.00	157.60
Melegnano	18226.00	3626.13
Meleti	452.00	59.84
Mello	945.00	83.90
Melzo	18253.00	1883.01
Menaggio	3101.00	263.98
Menconico	358.00	12.69
Merate	14891.00	1345.90
Mercallo	1815.00	327.44
Merlino	1729.00	162.72
Merone	4106.00	1249.92
Mese	1806.00	437.53
Mesenzana	1573.00	314.15
Mesero	4177.00	738.12
Mezzago	4499.00	1040.29
Mezzana Bigli	1077.00	56.36
Mezzana Rabattone	479.00	67.10
Mezzanino	1351.00	109.42
Mezzoldo	161.00	8.55
Milano	1378689.00	7519.99
Milzano	1747.00	207.80
Miradolo Terme	3733.00	388.66
Misano di Gera d'Adda	2991.00	484.36
Misinto	5597.00	1091.41
